id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12387053,JE256659,6/6/2021 20:40,010XX W 47TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,933,9,20,61,14,1170255,1873317,2021,6/13/2021 16:53,41.80787129,-87.65107061,(41.80787129-87.65107061)
12386729,JE256315,6/6/2021 20:35,034XX W 54TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,822,8,14,63,08B,1154432,1868267,2021,6/13/2021 16:53,41.79434341,-87.70924007,(41.79434341-87.70924007)
12386685,JE256295,6/6/2021 20:35,004XX W 28TH PL,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,914,9,11,60,08A,1173465,1886033,2021,6/13/2021 16:53,41.84269462,-87.63892025,(41.84269462-87.63892025)
12387767,JE257609,6/6/2021 20:30,014XX W FARGO AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2422,24,49,1,7,1165349,1949541,2021,6/13/2021 16:53,42.01714036,-87.66689222,(42.01714036-87.66689222)
12387177,JE256715,6/6/2021 20:30,056XX W 63RD PL,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,812,8,13,64,5,1139882,1861895,2021,6/13/2021 16:53,41.777135,-87.76275038,(41.777135-87.76275038)
12386750,JE256330,6/6/2021 20:30,018XX W 72ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,735,7,17,67,14,1165383,1856938,2021,6/13/2021 16:53,41.76302999,-87.66940371,(41.76302999-87.66940371)
12389515,JE259751,6/6/2021 20:30,015XX N KENNEDY EXPY OB,486,BATTERY,DOMESTIC BATTERY SIMPLE,HIGHWAY / EXPRESSWAY,FALSE,TRUE,1433,14,2,24,08B,1166316,1910572,2021,6/13/2021 16:53,41.91018722,-87.66445331,(41.91018722-87.66445331)
12386756,JE256349,6/6/2021 20:23,006XX N CICERO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1111,11,28,25,14,1144239,1903971,2021,6/13/2021 16:53,41.89251713,-87.74572221,(41.89251713-87.74572221)
12386765,JE256301,6/6/2021 20:23,012XX W 73RD ST,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,TRUE,FALSE,734,7,17,67,26,1169471,1856380,2021,6/13/2021 16:53,41.7614112,-87.6544366,(41.7614112-87.6544366)
12386747,JE256285,6/6/2021 20:20,077XX S WINCHESTER AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,611,6,17,71,08A,1164701,1853335,2021,6/13/2021 16:53,41.75315727,-87.67200489,(41.75315727-87.67200489)
12386717,JE256310,6/6/2021 20:20,033XX N MILWAUKEE AVE,460,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,1731,17,30,16,08B,1149080,1921786,2021,6/13/2021 16:53,41.94131083,-87.72748083,(41.94131083-87.72748083)
12387857,JE256324,6/6/2021 20:15,030XX W FLOURNOY ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1134,11,28,27,7,1156237,1896878,2021,6/13/2021 16:53,41.87281932,-87.70184987,(41.87281932-87.70184987)
12386669,JE256291,6/6/2021 20:15,021XX N MANGO AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2515,25,36,19,26,1137721,1913371,2021,6/13/2021 16:53,41.91843186,-87.76943358,(41.91843186-87.76943358)
12386758,JE256308,6/6/2021 20:15,033XX W HARRISON ST,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,1134,11,24,27,08A,1153993,1897159,2021,6/13/2021 16:53,41.87363542,-87.71008119,(41.87363542-87.71008119)
12386802,JE256400,6/6/2021 20:14,004XX E 61ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,FALSE,FALSE,313,3,20,42,14,1180465,1864671,2021,6/13/2021 16:53,41.78391738,-87.61388869,(41.78391738-87.61388869)
12386755,JE256307,6/6/2021 20:14,042XX W HIRSCH ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2534,25,26,23,08B,1147671,1908980,2021,6/13/2021 16:53,41.90619717,-87.73298902,(41.90619717-87.73298902)
